ABA,H,Cell -2,Cell -1,Cell 0,Cell +1,Cell +2
      0 ,     0 ,       0 ,       0 ,      1 ,       0 ,       0
      0 ,    14 ,    0.08 ,    0.15 ,    0.3 ,     0.2 ,     0.1
      1 ,     0 ,       0 ,       0 ,      1 ,       0 ,       0
      1 ,    14 ,    0.08 ,    0.19 ,    0.3 ,    0.23 ,     0.1
      5 ,     0 ,       0 ,       0 ,      1 ,       0 ,       0
      5 ,    14 ,    0.08 ,    0.23 ,   0.45 ,     0.3 ,     0.1
     10 ,     0 ,       0 ,       0 ,      1 ,       0 ,       0
     10 ,    14 ,    0.08 ,     0.2 ,    0.6 ,     0.3 ,     0.1
     50 ,     0 ,       0 ,       0 ,      1 ,       0 ,       0
     50 ,    14 ,       0 ,     0.1 ,    0.8 ,     0.1 ,       0
